,Coefficient
"Продажи, рубли 1",0.12321028197069614
"раствор 0 01 % 150 мл N1, руб",-0.14739586397768478
"раствор  0 01 % 50 мл N1, руб",0.15566989228095293
"раствор 0 01 % 500 мл N1, руб",-1.374960383549736
"раствор 0 01 % 150 мл N1, упаковки",-5.736099112718657
"раствор  0 01 % 50 мл N1, упаковки",-64.451159822864
"раствор 0 01 % 500 мл N1, упаковки",1306.4601294182496
Дистрибуция Мирамистин,54547860.80938321
Выписки ,-596.4409198126286
Статистика заболеваемости,15.5981648869729
Индекс цены,2387899.4589355546
Развитие Дженериков   средняя дистрибуция ,-681329593.09816
Развитие Дженериков   кол-во брендов ,1417991.517260478
" 1  ТВ, trp  Ж 30-60 ВС ",1487680.4390147943
" 1  ТВ, рубли",-122581556.43911278
" 1  ТВ, охват 5+  Ж 30-60 ВС ",-89774127.11775652
" 2  ТВ, trp  Ж 30-60 ВС ",1494102.3760587971
" 2  ТВ, рубли",-122581556.87562025
" 2  ТВ, охват 5+  Ж 30-60 ВС ",-89251961.8708753
" 3  ТВ, trp  Ж 30-60 ВС ",1338049.9875096183
" 3  ТВ, рубли",-122581556.5063935
" 3  ТВ, охват 5+  Ж 30-60 ВС ",-87461760.57140581
" 4  ТВ, trp  Ж 30-60 ВС ",-5802524.746786746
" 4  ТВ, рубли",478929865.9761123
" 4  ТВ, охват 5+  Ж 30-60 ВС ",-5683592.085652159
" тотал  ТВ, trp  Ж 30-60 ВС ",-1482888.5539788578
" тотал  ТВ, рубли",116744339.73845854
" тотал  ТВ, охват 5+  Ж 30-60 ВС ",89111838.9845642
"Диджитал, рубли",-0.42756262579623616
"Радио, рубли",0.7098378009196065
"Радио, количество выходов ",-0.2742386320400776
Запросы Wordstat,732.5570812279868
"ТВ, trp  Ж 30-60 ВС ",-821793.1932575351
"ТВ, охват 5+  Ж 30-60 ВС ",9586552.434947906
"ТВ, рубли",25.46764006279409
"Диджитал, руб",1.3133162669837475
"ТВ спонсорство, рубли",-32.6506326450035
"OOH, рубли",0.11302514544085085
"Радио, рубли 1",-2.0418424646274325
Итого,-10.054109867662191
"ТВ, trp  Ж 30-60 ВС  1",-288171.49943877483
"ТВ, охват 5+  Ж 30-60 ВС  1",4300198.039335495
"ТВ, рубли 1",-7.2577608823776245
"Диджитал, руб 1",-3.6513486728072166
"ТВ спонсорство, рубли 1",9.217001661658287
"OOH, рубли 1",-0.04625681479035393
"Радио, рубли 2",0.09642597060474145
Итого 1,8.6934312582016
"ТВ, trp  Ж 30-60 ВС  2",0.15162825041329597
"ТВ, охват 5+  Ж 30-60 ВС  2",-0.060278518663722025
"ТВ, рубли 2",-0.4155574422597965
"Диджитал, руб 2",0.01447189360419543
"ТВ спонсорство, рубли 2",-0.010946447766400524
"OOH, рубли 2",31.06886000954546
"Радио, рубли 3",-0.0012221383267387864
"ТВ Рег, рубли",19.82528532668948
Итого 2,-20.525033950805664
"ТВ, trp  Ж 30-60 ВС  3",0.0005049959938219217
