week,revenue
04.09.2023,67637604.45163275
11.09.2023,78353948.40564336
18.09.2023,56709486.29428656
25.09.2023,66403848.40019639
02.10.2023,67016739.61499137
09.10.2023,59084963.92791322
16.10.2023,80606398.8612995
23.10.2023,71297912.86990945
30.10.2023,74480758.80186647
06.11.2023,69527514.75852656
13.11.2023,87190407.70964056
20.11.2023,70670724.41510205
27.11.2023,67432384.19692616
04.12.2023,64123146.86629661
11.12.2023,82460285.48378007
18.12.2023,82062405.66228248
25.12.2023,82134813.18419656
01.01.2024,79331563.02280149
08.01.2024,76629504.71148452
15.01.2024,74507588.8109505
22.01.2024,86041148.03957027
29.01.2024,56468486.645051725
05.02.2024,78593801.98633198
12.02.2024,58468948.594474636
19.02.2024,72615643.22032909
26.02.2024,63789368.71062309
04.03.2024,54066797.40473564
11.03.2024,58070118.13633885
18.03.2024,70455810.73775864
